shipment_id,ship_date,origin,destination,carrier,mode,units,eta,status,delay_days
SHP-231734,2023-12-30,RNO-1,CMH-1,BlueRidge Freight,LTL,2588,2023-12-09,delivered,0
SHP-231745,2023-12-31,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,651,2023-12-08,delivered,0
SHP-231752,2023-12-31,RNO-1,CMH-1,BlueRidge Freight,LTL,2053,2023-12-08,delivered,0
SHP-231755,2024-01-01,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2365,2024-01-05,delayed,14
SHP-231766,2024-01-01,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1298,2024-01-05,delivered,0
SHP-231769,2024-01-02,PDX-1,RNO-1,Pacific Lane,ocean,2515,2024-02-11,delivered,0
SHP-231780,2024-01-02,PDX-1,RNO-1,SwiftParcel,parcel,1891,2024-01-07,delayed,7
SHP-231787,2024-01-03,Shenzhen CN,PDX-1,Pacific Lane,ocean,712,2024-02-05,delivered,0
SHP-231794,2024-01-03,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2223,2024-01-07,delivered,0
SHP-231805,2024-01-05,Shenzhen CN,PDX-1,Pacific Lane,ocean,786,2024-02-13,delivered,0
SHP-231808,2024-01-08,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,632,2024-02-18,in-transit,0
SHP-231819,2024-01-09,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1216,2024-02-07,delivered,0
SHP-231826,2024-01-10,PDX-1,CMH-1,Pacific Lane,ocean,501,2024-02-11,delivered,0
SHP-231837,2024-01-10,PDX-1,CMH-1,BlueRidge Freight,FTL,1101,2024-01-14,delivered,0
SHP-231844,2024-01-11,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2043,2024-01-15,delivered,0
SHP-231851,2024-01-11,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1666,2024-01-17,delivered,0
SHP-231858,2024-01-12,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2227,2024-01-18,delivered,0
SHP-231861,2024-01-12,PDX-1,RNO-1,SwiftParcel,parcel,222,2024-01-16,delivered,0
SHP-231868,2024-01-13,Hangzhou CN,PDX-1,Pacific Lane,ocean,2473,2024-02-15,delivered,0
SHP-231871,2024-01-13,Hangzhou CN,PDX-1,Pacific Lane,ocean,2234,2024-02-08,delivered,0
SHP-231874,2024-01-14,PDX-1,RNO-1,BlueRidge Freight,FTL,2429,2024-01-19,delivered,0
SHP-231877,2024-01-14,Monterrey MX,CMH-1,BlueRidge Freight,FTL,83,2024-01-20,delivered,0
SHP-231880,2024-01-16,Shenzhen CN,PDX-1,Pacific Lane,ocean,1113,2024-02-14,delivered,0
SHP-231891,2024-01-16,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1417,2024-01-22,customs-hold,5
SHP-231898,2024-01-19,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1118,2024-01-26,delivered,0
SHP-231909,2024-01-19,PDX-1,CMH-1,BlueRidge Freight,FTL,2413,2024-01-24,delivered,0
SHP-231920,2024-01-20,PDX-1,RNO-1,BlueRidge Freight,LTL,1840,2024-01-01,delayed,7
SHP-231927,2024-01-22,PDX-1,CMH-1,BlueRidge Freight,FTL,745,2024-01-01,delivered,0
SHP-231938,2024-01-22,PDX-1,CMH-1,BlueRidge Freight,FTL,1219,2024-01-26,delivered,0
SHP-231941,2024-01-29,Hangzhou CN,PDX-1,Pacific Lane,ocean,2507,2024-02-28,delivered,0
SHP-231944,2024-01-29,Hangzhou CN,PDX-1,Pacific Lane,ocean,810,2024-02-09,delivered,0
SHP-231947,2024-02-01,Shenzhen CN,PDX-1,Pacific Lane,ocean,505,2024-03-05,delivered,0
SHP-231954,2024-02-01,Hangzhou CN,PDX-1,Pacific Lane,ocean,992,2024-03-11,delivered,0
SHP-231965,2024-02-03,RNO-1,CMH-1,SwiftParcel,parcel,1427,2024-02-08,delivered,0
SHP-231968,2024-02-06,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,900,2024-02-13,customs-hold,8
SHP-231971,2024-02-10,Hangzhou CN,PDX-1,Pacific Lane,ocean,1803,2024-03-07,delayed,12
SHP-231982,2024-02-18,PDX-1,CMH-1,Pacific Lane,ocean,616,2024-03-19,delivered,0
SHP-231993,2024-02-18,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2460,2024-03-15,delivered,0
SHP-232004,2024-02-22,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2304,2024-02-01,delivered,0
SHP-232015,2024-02-22,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2061,2024-02-26,delivered,0
SHP-232026,2024-02-25,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,63,2024-03-04,delivered,0
SHP-232033,2024-02-27,PDX-1,CMH-1,Pacific Lane,ocean,2175,2024-03-23,delivered,0
SHP-232040,2024-02-27,Shenzhen CN,PDX-1,Pacific Lane,ocean,890,2024-03-28,delayed,3
SHP-232047,2024-03-01,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1530,2024-03-06,in-transit,0
SHP-232054,2024-03-01,Shenzhen CN,PDX-1,Pacific Lane,ocean,1380,2024-03-27,delivered,0
SHP-232061,2024-03-12,PDX-1,CMH-1,SwiftParcel,parcel,1746,2024-03-15,delivered,0
SHP-232068,2024-03-12,RNO-1,CMH-1,Pacific Lane,ocean,1272,2024-04-08,delivered,0
SHP-232071,2024-03-15,PDX-1,CMH-1,BlueRidge Freight,LTL,609,2024-03-21,delivered,0
SHP-232078,2024-03-15,Shenzhen CN,PDX-1,Pacific Lane,ocean,1183,2024-04-12,delivered,0
SHP-232089,2024-03-21,RNO-1,CMH-1,BlueRidge Freight,LTL,2225,2024-03-27,delivered,0
SHP-232100,2024-03-23,Hangzhou CN,PDX-1,Pacific Lane,ocean,2483,2024-04-26,in-transit,0
SHP-232107,2024-03-24,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1827,2024-04-02,delayed,14
SHP-232114,2024-03-25,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1213,2024-04-02,in-transit,0
SHP-232117,2024-03-25,PDX-1,RNO-1,SwiftParcel,parcel,2490,2024-04-02,delivered,0
SHP-232124,2024-03-26,PDX-1,CMH-1,SwiftParcel,parcel,1322,2024-04-02,delivered,0
SHP-232135,2024-03-26,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1854,2024-04-04,delivered,0
SHP-232146,2024-03-27,PDX-1,CMH-1,SwiftParcel,parcel,822,2024-04-02,in-transit,0
SHP-232149,2024-03-29,RNO-1,CMH-1,Pacific Lane,ocean,1468,2024-04-02,delivered,0
SHP-232156,2024-03-29,PDX-1,CMH-1,Pacific Lane,ocean,707,2024-04-26,delivered,0
SHP-232159,2024-03-31,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2362,2024-04-10,in-transit,0
SHP-232170,2024-03-31,Hangzhou CN,PDX-1,Pacific Lane,ocean,2316,2024-04-03,delivered,0
SHP-232177,2024-04-04,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1464,2024-05-07,in-transit,0
SHP-232180,2024-04-05,Hangzhou CN,PDX-1,Pacific Lane,ocean,1810,2024-05-14,delivered,0
SHP-232183,2024-04-08,Shenzhen CN,PDX-1,Pacific Lane,ocean,1114,2024-05-06,delivered,0
SHP-232186,2024-04-09,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2002,2024-04-14,delivered,0
SHP-232197,2024-04-09,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2373,2024-04-16,delivered,0
SHP-232200,2024-04-11,Hangzhou CN,PDX-1,Pacific Lane,ocean,709,2024-05-06,delivered,0
SHP-232207,2024-04-11,Shenzhen CN,PDX-1,Pacific Lane,ocean,1762,2024-05-15,delivered,0
SHP-232210,2024-04-16,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,581,2024-05-24,delivered,0
SHP-232221,2024-04-20,PDX-1,CMH-1,SwiftParcel,parcel,274,2024-04-24,delivered,0
SHP-232232,2024-04-25,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2119,2024-05-03,delayed,2
SHP-232239,2024-04-25,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1402,2024-05-02,delivered,0
SHP-232250,2024-05-01,Shenzhen CN,PDX-1,Pacific Lane,ocean,539,2024-06-11,customs-hold,7
SHP-232253,2024-05-01,Hangzhou CN,PDX-1,Pacific Lane,ocean,1963,2024-05-26,delivered,0
SHP-232256,2024-05-02,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1828,2024-05-06,delayed,7
SHP-232259,2024-05-02,PDX-1,RNO-1,Pacific Lane,ocean,1638,2024-05-25,customs-hold,5
SHP-232270,2024-05-04,PDX-1,RNO-1,BlueRidge Freight,FTL,2471,2024-05-09,delayed,6
SHP-232281,2024-05-07,PDX-1,CMH-1,BlueRidge Freight,FTL,914,2024-05-12,delayed,4
SHP-232292,2024-05-07,RNO-1,CMH-1,SwiftParcel,parcel,2437,2024-05-10,delivered,0
SHP-232295,2024-05-15,PDX-1,CMH-1,BlueRidge Freight,FTL,756,2024-05-21,delivered,0
SHP-232306,2024-05-15,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1920,2024-06-11,customs-hold,4
SHP-232313,2024-05-20,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1409,2024-06-24,in-transit,0
SHP-232320,2024-05-22,PDX-1,CMH-1,Pacific Lane,ocean,1178,2024-06-22,delayed,5
SHP-232331,2024-05-24,Shenzhen CN,PDX-1,Pacific Lane,ocean,1061,2024-06-21,delayed,11
SHP-232342,2024-05-28,RNO-1,CMH-1,BlueRidge Freight,FTL,1514,2024-06-04,delivered,0
SHP-232345,2024-05-28,Hangzhou CN,PDX-1,Pacific Lane,ocean,100,2024-06-28,in-transit,0
SHP-232348,2024-05-29,Hangzhou CN,PDX-1,Pacific Lane,ocean,1896,2024-06-01,delivered,0
SHP-232351,2024-05-31,Shenzhen CN,PDX-1,Pacific Lane,ocean,496,2024-06-13,delivered,0
SHP-232358,2024-05-31,PDX-1,CMH-1,Pacific Lane,ocean,2330,2024-06-28,delivered,0
SHP-232369,2024-06-01,Shenzhen CN,PDX-1,Pacific Lane,ocean,2588,2024-07-05,delivered,0
SHP-232376,2024-06-03,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1399,2024-06-07,delivered,0
SHP-232383,2024-06-06,PDX-1,CMH-1,SwiftParcel,parcel,1884,2024-06-10,customs-hold,9
SHP-232386,2024-06-10,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,735,2024-06-16,delivered,0
SHP-232393,2024-06-10,Shenzhen CN,PDX-1,Pacific Lane,ocean,2002,2024-07-07,delivered,0
SHP-232396,2024-06-11,RNO-1,CMH-1,BlueRidge Freight,LTL,2509,2024-06-18,delivered,0
SHP-232403,2024-06-11,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2187,2024-06-15,delayed,8
SHP-232414,2024-06-16,Hangzhou CN,PDX-1,Pacific Lane,ocean,1861,2024-07-27,delivered,0
SHP-232421,2024-06-16,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1289,2024-07-13,delivered,0
SHP-232432,2024-06-17,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,599,2024-06-23,delivered,0
SHP-232439,2024-06-17,Shenzhen CN,PDX-1,Pacific Lane,ocean,1402,2024-07-14,delivered,0
SHP-232446,2024-06-19,PDX-1,RNO-1,BlueRidge Freight,LTL,2323,2024-06-24,delivered,0
SHP-232457,2024-06-19,Hangzhou CN,PDX-1,Pacific Lane,ocean,1630,2024-07-23,delivered,0
SHP-232464,2024-06-20,RNO-1,CMH-1,SwiftParcel,parcel,1217,2024-06-25,delivered,0
SHP-232475,2024-06-20,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1604,2024-07-17,delivered,0
SHP-232482,2024-07-02,PDX-1,CMH-1,BlueRidge Freight,FTL,2543,2024-07-06,delivered,0
SHP-232485,2024-07-03,PDX-1,CMH-1,Pacific Lane,ocean,983,2024-08-07,delivered,0
SHP-232496,2024-07-04,Hangzhou CN,PDX-1,Pacific Lane,ocean,654,2024-07-27,delivered,0
SHP-232499,2024-07-04,RNO-1,CMH-1,Pacific Lane,ocean,1095,2024-08-13,delayed,10
SHP-232502,2024-07-05,Shenzhen CN,PDX-1,Pacific Lane,ocean,2485,2024-08-06,delivered,0
SHP-232505,2024-07-07,PDX-1,RNO-1,BlueRidge Freight,FTL,1097,2024-07-11,delivered,0
SHP-232516,2024-07-07,Hangzhou CN,PDX-1,Pacific Lane,ocean,139,2024-08-12,customs-hold,3
SHP-232519,2024-07-10,Hangzhou CN,PDX-1,Pacific Lane,ocean,1842,2024-08-05,delivered,0
SHP-232522,2024-07-10,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1625,2024-07-16,delivered,0
SHP-232529,2024-07-14,PDX-1,RNO-1,BlueRidge Freight,FTL,1948,2024-07-19,delivered,0
SHP-232532,2024-07-15,PDX-1,RNO-1,Pacific Lane,ocean,739,2024-08-14,in-transit,0
SHP-232535,2024-07-16,RNO-1,CMH-1,Pacific Lane,ocean,1943,2024-08-24,delivered,0
SHP-232546,2024-07-19,Hangzhou CN,PDX-1,Pacific Lane,ocean,1027,2024-08-01,delivered,0
SHP-232549,2024-07-19,Monterrey MX,CMH-1,BlueRidge Freight,FTL,487,2024-07-26,in-transit,0
SHP-232560,2024-07-22,Hangzhou CN,PDX-1,Pacific Lane,ocean,764,2024-08-19,delivered,0
SHP-232567,2024-07-24,RNO-1,CMH-1,BlueRidge Freight,LTL,2215,2024-08-04,delivered,0
SHP-232570,2024-07-26,Shenzhen CN,PDX-1,Pacific Lane,ocean,1410,2024-08-07,delayed,4
SHP-232581,2024-07-28,PDX-1,RNO-1,SwiftParcel,parcel,1199,2024-08-05,delivered,0
SHP-232592,2024-07-31,Shenzhen CN,PDX-1,Pacific Lane,ocean,1608,2024-08-02,delivered,0
SHP-232599,2024-08-03,Hangzhou CN,PDX-1,Pacific Lane,ocean,1914,2024-09-04,delivered,0
SHP-232606,2024-08-04,RNO-1,CMH-1,BlueRidge Freight,FTL,2235,2024-08-09,delivered,0
SHP-232609,2024-08-05,PDX-1,RNO-1,BlueRidge Freight,LTL,2122,2024-08-14,delivered,0
SHP-232616,2024-08-05,RNO-1,CMH-1,Pacific Lane,ocean,2146,2024-09-13,delivered,0
SHP-232619,2024-08-07,Shenzhen CN,PDX-1,Pacific Lane,ocean,1942,2024-09-04,delayed,2
SHP-232622,2024-08-07,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2522,2024-08-14,delivered,0
SHP-232633,2024-08-08,Hangzhou CN,PDX-1,Pacific Lane,ocean,1063,2024-09-05,delivered,0
SHP-232636,2024-08-08,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,555,2024-09-16,delivered,0
SHP-232647,2024-08-09,Monterrey MX,CMH-1,BlueRidge Freight,FTL,982,2024-08-14,delivered,0
SHP-232658,2024-08-09,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1786,2024-08-16,delivered,0
SHP-232669,2024-08-14,Hangzhou CN,PDX-1,Pacific Lane,ocean,1531,2024-09-09,in-transit,0
SHP-232672,2024-08-17,PDX-1,RNO-1,BlueRidge Freight,FTL,939,2024-08-21,delivered,0
SHP-232675,2024-08-24,Shenzhen CN,PDX-1,Pacific Lane,ocean,1054,2024-09-20,delivered,0
SHP-232686,2024-08-26,Hangzhou CN,PDX-1,Pacific Lane,ocean,2180,2024-09-21,delivered,0
SHP-232693,2024-08-26,RNO-1,CMH-1,Pacific Lane,ocean,622,2024-09-03,customs-hold,9
SHP-232700,2024-08-27,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1798,2024-09-03,delivered,0
SHP-232703,2024-08-28,RNO-1,CMH-1,BlueRidge Freight,LTL,241,2024-09-06,delivered,0
SHP-232714,2024-08-29,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1313,2024-09-08,delivered,0
SHP-232721,2024-09-01,Monterrey MX,CMH-1,BlueRidge Freight,FTL,336,2024-09-07,in-transit,0
SHP-232732,2024-09-01,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,59,2024-10-02,delivered,0
SHP-232735,2024-09-02,Hangzhou CN,PDX-1,Pacific Lane,ocean,2573,2024-09-01,delayed,14
SHP-232742,2024-09-04,PDX-1,RNO-1,BlueRidge Freight,FTL,255,2024-09-09,in-transit,0
SHP-232745,2024-09-05,PDX-1,CMH-1,SwiftParcel,parcel,878,2024-09-09,delayed,6
SHP-232756,2024-09-09,Hangzhou CN,PDX-1,Pacific Lane,ocean,760,2024-10-19,delayed,8
SHP-232759,2024-09-09,PDX-1,CMH-1,Pacific Lane,ocean,53,2024-10-10,delayed,11
SHP-232766,2024-09-12,Shenzhen CN,PDX-1,Pacific Lane,ocean,446,2024-10-11,delayed,11
SHP-232769,2024-09-12,Shenzhen CN,PDX-1,Pacific Lane,ocean,121,2024-10-07,delayed,9
SHP-232780,2024-09-13,RNO-1,CMH-1,SwiftParcel,parcel,2022,2024-09-16,delivered,0
SHP-232787,2024-09-18,RNO-1,CMH-1,Pacific Lane,ocean,195,2024-10-23,delayed,13
SHP-232794,2024-09-20,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2215,2024-09-27,delivered,0
SHP-232801,2024-09-24,Shenzhen CN,PDX-1,Pacific Lane,ocean,2017,2024-10-07,delayed,11
SHP-232812,2024-09-26,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,419,2024-10-28,delayed,11
SHP-232823,2024-09-26,PDX-1,RNO-1,BlueRidge Freight,FTL,1462,2024-10-05,delivered,0
SHP-232834,2024-09-28,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1237,2024-10-06,delivered,0
SHP-232841,2024-09-28,RNO-1,CMH-1,Pacific Lane,ocean,1333,2024-10-25,in-transit,0
SHP-232848,2024-09-29,Hangzhou CN,PDX-1,Pacific Lane,ocean,2497,2024-10-25,delivered,0
SHP-232859,2024-10-05,Shenzhen CN,PDX-1,Pacific Lane,ocean,882,2024-11-10,delayed,10
SHP-232862,2024-10-16,RNO-1,CMH-1,Pacific Lane,ocean,130,2024-11-24,delivered,0
SHP-232869,2024-10-16,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1946,2024-10-23,delayed,3
SHP-232872,2024-10-17,Hangzhou CN,PDX-1,Pacific Lane,ocean,2106,2024-11-16,delivered,0
SHP-232879,2024-10-19,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,798,2024-11-24,customs-hold,4
SHP-232886,2024-10-19,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2067,2024-10-24,delivered,0
SHP-232893,2024-10-20,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,483,2024-10-25,delivered,0
SHP-232900,2024-10-22,PDX-1,RNO-1,SwiftParcel,parcel,971,2024-10-27,delivered,0
SHP-232911,2024-10-28,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,290,2024-11-07,in-transit,0
SHP-232922,2024-10-30,RNO-1,CMH-1,SwiftParcel,parcel,2435,2024-11-05,customs-hold,6
SHP-232933,2024-10-31,Hangzhou CN,PDX-1,Pacific Lane,ocean,749,2024-11-11,customs-hold,5
SHP-232944,2024-11-04,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2124,2024-12-05,in-transit,0
SHP-232955,2024-11-05,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2305,2024-12-06,delivered,0
SHP-232966,2024-11-05,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2573,2024-11-09,delivered,0
SHP-232973,2024-11-07,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2470,2024-11-14,delivered,0
SHP-232976,2024-11-08,PDX-1,CMH-1,BlueRidge Freight,FTL,224,2024-11-13,delivered,0
SHP-232979,2024-11-12,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2120,2024-12-13,delivered,0
SHP-232990,2024-11-14,RNO-1,CMH-1,BlueRidge Freight,FTL,2171,2024-11-20,delivered,0
SHP-232997,2024-11-15,Shenzhen CN,PDX-1,Pacific Lane,ocean,758,2024-12-14,customs-hold,5
SHP-233008,2024-11-15,Hangzhou CN,PDX-1,Pacific Lane,ocean,217,2024-12-12,delivered,0
SHP-233019,2024-11-16,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1022,2024-11-20,delivered,0
SHP-233030,2024-11-16,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2292,2024-12-20,delivered,0
SHP-233033,2024-11-17,RNO-1,CMH-1,BlueRidge Freight,LTL,1168,2024-11-23,delayed,3
SHP-233040,2024-11-17,Shenzhen CN,PDX-1,Pacific Lane,ocean,270,2024-12-18,in-transit,0
SHP-233051,2024-11-19,Shenzhen CN,PDX-1,Pacific Lane,ocean,2125,2024-12-20,delivered,0
SHP-233054,2024-11-21,Shenzhen CN,PDX-1,Pacific Lane,ocean,2362,2024-12-21,delivered,0
SHP-233065,2024-11-21,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1400,2024-11-28,in-transit,0
SHP-233076,2024-11-28,PDX-1,RNO-1,BlueRidge Freight,LTL,1775,2024-12-09,delivered,0
SHP-233079,2024-12-02,RNO-1,CMH-1,BlueRidge Freight,LTL,2196,2024-12-07,delivered,0
SHP-233090,2024-12-02,Shenzhen CN,PDX-1,Pacific Lane,ocean,702,2024-12-25,delayed,7
SHP-233093,2024-12-05,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,508,2024-12-03,delivered,0
SHP-233096,2024-12-05,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,505,2024-12-10,delivered,0
SHP-233107,2024-12-07,Shenzhen CN,PDX-1,Pacific Lane,ocean,2010,2024-12-14,delivered,0
SHP-233118,2024-12-11,Shenzhen CN,PDX-1,Pacific Lane,ocean,2565,2024-12-06,in-transit,0
SHP-233125,2024-12-15,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1072,2024-12-22,delivered,0
SHP-233136,2024-12-15,Shenzhen CN,PDX-1,Pacific Lane,ocean,1274,2024-12-12,delivered,0
SHP-233143,2024-12-18,PDX-1,RNO-1,Pacific Lane,ocean,1135,2024-12-01,delivered,0
SHP-233154,2024-12-18,Shenzhen CN,PDX-1,Pacific Lane,ocean,1641,2024-12-20,delivered,0
SHP-233165,2024-12-19,RNO-1,CMH-1,BlueRidge Freight,FTL,2129,2024-12-25,delivered,0
SHP-233168,2024-12-19,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1773,2024-12-25,delivered,0
SHP-233179,2024-12-20,Monterrey MX,CMH-1,BlueRidge Freight,FTL,902,2024-12-27,delivered,0
SHP-233182,2024-12-20,Shenzhen CN,PDX-1,Pacific Lane,ocean,1964,2024-12-21,delivered,0
SHP-233193,2024-12-21,Hangzhou CN,PDX-1,Pacific Lane,ocean,2044,2024-12-19,delivered,0
SHP-233204,2024-12-22,Shenzhen CN,PDX-1,Pacific Lane,ocean,1509,2024-12-04,in-transit,0
SHP-233211,2024-12-22,Hangzhou CN,PDX-1,Pacific Lane,ocean,670,2024-12-01,delivered,0
SHP-233218,2024-12-25,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,478,2024-12-04,delivered,0
SHP-233221,2024-12-26,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2055,2024-12-04,delivered,0
SHP-233228,2024-12-29,RNO-1,CMH-1,BlueRidge Freight,FTL,1902,2024-12-08,customs-hold,9
SHP-233231,2024-12-29,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2292,2024-12-08,delivered,0
